Код,Артикул (с /),Артикул,Доп. поле: Артикул на сайте WB,Штрихкод EAN13,Группы,Код_1,Наименование,Артикул_2,Цена: Цена закупки в юанях,Закупочная цена,Штрихкод EAN13_3,Штрихкод EAN8,Вес,Доп. поле: Артикул на сайте WB_4,Доп. поле: ABC анализ,Доп. поле: Логистика (Кит-Мск),Доп. поле: Дата поступления первого остатка,Остаток,Продаж в день
01513,1513/M,1513,146567360,2000000013503,Спортивные товары,01513,Полупальцы получешки для танцев бежевые 2 шт - размер M,1513/M,"5,5","206,0",2000000013503,1513,"0,08",146567360,C2,"34,5",,0.0,
00662,662,662,38815248,2000000002385,Для малышей,00662,Femometer: 20 тест-полосок на овуляцию (LH Ovulation Test) - Коробка,662,"17,0","306,0",2000000002385,662,"0,01",38815248,B1,"34,5",,341.0,
01414,1414,1414,141647933,2000000012209,Красота,01414,"Осветляющий пилинг-пленка для тела с экстрактом апельсина, 100 мл",1414,"5,0","185,0",2000000012209,1414,"0,1",141647933,Архив,"34,5",,0.0,
00806,806,806,80131478,2000000004181,Для малышей,00806,"Набор для маникюра детский: пилочка, ножнички, щипчики, пинцет, цвет: ФИОЛЕТОВЫЙ",806,"4,4","148,0",2000000004181,806,"0,08",80131478,Sale,"29,5",,0.0,
00816,816,816,80323948,2000000021348,Красота,00816,"SUAKE #4 Кератиновый маскирующий консилер, пудра ЧЕРНЫЙ, 4 гр",816,"3,8","142,0",2000000021348,816,"0,04",80323948,B1,"34,5",,23.0,
01243,1243,1243,122485627,"2,00E+12",Дом,01243,Цифровой роликовый штамп с примерами. ПЕЧАТЬ,1243,"5,5","205,0","2,00E+12",нет,"0,1",122485627,Sale,"34,5",,0.0,
01609,1609,1609,152220040,2000000015187,Здоровье,01609,Электроды для миостимулятора массажера 4 шт сложная форма,1609,"1,0","112,0",2000000015187,1609,"0,04",152220040,C2,"34,5",,0.0,
00923,923,923,82713113,2000000005706,18+,00923,"Уретральный зонд металлический С ШАРИКОМ, ДЛИННЫЙ КОНУСООБРАЗНЫЙ КОНЕЦ. 9,6 СМ",923,"8,0","242,0",2000000005706,923,"0,1",82713113,C2,"34,5",,0.0,
01420,14200/37,14200,141342610,2000000012261,Спортивные товары,01420,"Пуанты (балетки) для балета, хлопок, цвет: черный, размер 37 (7)",14200/37,"68,0","1321,0",2000000012261,нет,"0,25",141342610,A2,"34,5",,0.0,
01102,родитель_неактив,родитель_неактив,114597616,2000000007854,Сад,01102,Дождеватель капельный -СЕРЫЙ 1 ШТ.,родитель_неактив,"1,8","37,0",2000000007854,родитель,"0,03",114597616,Архив,"34,5",,0.0,
